,Book Author,Book Owner,Publication Year
519,Herbert Lionel Matthews,Ernest Hemingway,1957
520,Herbert Lionel Matthews,Ernest Hemingway,1957
521,Peter Matthiessen,Ernest Hemingway,1959
522,Peter Matthiessen,Ernest Hemingway,1957
523,Garrett Mattingly,Ernest Hemingway,1959
524,W. Somerset Maugham,Ernest Hemingway,1955
525,W. Somerset Maugham,Ernest Hemingway,1958
526,Robert Hutton,Ernest Hemingway,1958
527,Elspeth Joscelin Grant Huxley,Ernest Hemingway,1955
528,Gerald Hanley,Ernest Hemingway,1955
529,Gerald Hanley,Ernest Hemingway,1957
530,Gerald Hanley,Ernest Hemingway,1957
531,Lawrence Hanson,Ernest Hemingway,1955
532,Alister Clavering Hardy,Ernest Hemingway,1956
533,Seymour Edwin Harris,Ernest Hemingway,1955
534,C. William [Will Hickok] Harrison,Ernest Hemingway,1958
535,Robert G. Hart,Ernest Hemingway,1959
536,Peggy Harvey,Ernest Hemingway,1957
537,Sven Hassel,Ernest Hemingway,1957
538,Patrick Hastings,Ernest Hemingway,1956
539,Bill Corum,Ernest Hemingway,1959
540,Ernest Haycox,Ernest Hemingway,1957
541,Lewis Cotlow,Ernest Hemingway,1956
542,Leonard Cottrell,Ernest Hemingway,1956
543,Ernest Haycox,Ernest Hemingway,1957
544,Pierre Courthion,Ernest Hemingway,1956
545,Pierre Courthion,Ernest Hemingway,1957
546,Pierre Courthion,Ernest Hemingway,1957
547,Ernest Haycox,Ernest Hemingway,1957
548,Ernest Haycox,Ernest Hemingway,1958
549,Ernest Haycox,Ernest Hemingway,1958
550,George Milburn,Ernest Hemingway,1957
551,Virginia Cowles,Ernest Hemingway,1958
552,Anthony Berkeley Cox,Ernest Hemingway,1958
553,George Harmon Coxe,Ernest Hemingway,1955
554,James Gould Cozzens,Ernest Hemingway,1957
555,John Johnson Craighead,Ernest Hemingway,1956
